ID,Name,Gender,Age,Height (cm),Weight (kg),Country,Continent,Year,Season,Sport,Event,Medal
1920,Yukiko Ikeda,Male,19,185,104,UK,Europe,2004,Summer,Football,Women's Football,Gold
1921,Hiroko Ishizu,Male,33,153,71,Spain,Europe,2004,Summer,Basketball,Men's Tournament,
1922,Kyoko Kitahara,Female,27,164,99,Canada,North America,2004,Winter,Skiing,Alpine Skiing,
1923,Kinue Kodama,Male,38,189,56,Australia,Oceania,2004,Summer,Basketball,Men's Tournament,Silver
1924,Misato Koide,Male,40,159,99,Canada,North America,2004,Winter,Ice Hockey,Women's Ice Hockey,Gold
1925,Keiko Nakagomi,Female,24,153,92,France,Europe,2004,Summer,Basketball,Men's Tournament,
1926,Toyoko Oku,Female,35,150,80,India,Asia,2004,Summer,Swimming,200m Butterfly,
1927,Ai Ouchi,Female,28,195,116,France,Europe,2004,Summer,Gymnastics,Vault,
1928,Minako Sato-Hokari,Female,28,175,111,Russia,Europe,2004,Winter,Ice Hockey,Men's Ice Hockey,
1929,Kyoko Yamazaki,Female,25,171,68,Germany,Europe,2004,Summer,Basketball,Men's Tournament,
1930,Terushi Furuhashi,Male,25,177,118,Italy,Europe,2004,Summer,Swimming,200m Butterfly,
1931,Seiji Hibino,Male,36,185,100,France,Europe,2004,Summer,Swimming,200m Butterfly,Silver
1932,Hiroshi Kajikawa,Male,38,199,54,Italy,Europe,2004,Summer,Weightlifting,Men's 77kg,
1933,Takayoshi Matsushita,Female,22,171,113,Australia,Oceania,2004,Summer,Athletics,200m Sprint,
1934,Hiroshi Michinaga,Female,27,195,97,South Korea,Asia,2004,Summer,Football,Women's Football,
1935,Shinji Nakamoto,Male,36,152,62,UK,Europe,2004,Summer,Athletics,100m Sprint,
1936,Takanobu Nishi,Male,27,162,74,Russia,Europe,2004,Winter,Ice Hockey,Men's Ice Hockey,
1937,Kiyokazu Nishikawa,Male,21,167,58,Canada,North America,2004,Winter,Ice Hockey,Men's Ice Hockey,
1938,Naoto Oku,Female,31,170,81,UK,Europe,2004,Winter,Skiing,Alpine Skiing,Bronze
1939,Ichiro Shimamura,Female,37,185,54,Canada,North America,2004,Summer,Weightlifting,Women's 58kg,Bronze
1940,Hiroshi Yamamoto,Male,34,174,81,India,Asia,2004,Summer,Athletics,100m Sprint,Bronze
1941,Irina Leonova,Male,40,196,113,France,Europe,2004,Summer,Swimming,100m Freestyle,
1942,Anna Mozhar,Female,37,157,78,Russia,Europe,2004,Winter,Ice Hockey,Men's Ice Hockey,
1943,Yana Tunyantse,Female,18,199,57,UK,Europe,2004,Summer,Football,Men's Football,
1944,Vadim Shikarev,Male,30,192,93,France,Europe,2004,Summer,Football,Men's Football,Gold
1945,Sergey Martynov,Male,37,191,77,UK,Europe,2004,Winter,Ice Hockey,Men's Ice Hockey,
1946,Vitaly Shin,Female,39,156,104,China,Asia,2004,Summer,Weightlifting,Men's 77kg,Gold
1947,Jennifer Mbuta,Male,31,158,93,India,Asia,2004,Summer,Weightlifting,Women's 58kg,
1948,Dominic Rebelo,Male,26,199,106,Germany,Europe,2004,Summer,Basketball,Women's Tournament,Bronze
1949,Jo Yun-Jeong,Male,40,187,58,UK,Europe,2004,Summer,Swimming,100m Freestyle,Silver
1950,Kim Jin-Ho,Female,35,167,115,Russia,Europe,2004,Summer,Weightlifting,Men's 77kg,
1951,Kim Jo-Sun,Male,32,185,120,UK,Europe,2004,Summer,Swimming,200m Butterfly,Bronze
1952,Kim Gyeong-Uk,Female,24,189,54,Japan,Asia,2004,Summer,Football,Women's Football,Gold
1953,Kim Su-Nyeong,Female,18,199,89,India,Asia,2004,Summer,Weightlifting,Women's 58kg,Silver
1954,Lee Eun-Gyeong,Male,32,199,55,Germany,Europe,2004,Summer,Gymnastics,Vault,Silver
1955,Park Yeong-Suk,Female,35,194,101,Brazil,South America,2004,Summer,Swimming,100m Freestyle,Bronze
1956,Seo Hyang-Sun,Female,39,176,81,Spain,Europe,2004,Summer,Football,Women's Football,
1957,Wang Hui-Gyeong,Male,21,171,109,Canada,North America,2004,Summer,Football,Men's Football,Silver
1958,Yun Hye-Yeong,Female,36,188,94,Brazil,South America,2004,Summer,Swimming,200m Butterfly,
1959,Yun Yeong-Suk,Male,29,192,91,South Africa,Africa,2004,Winter,Skiing,Cross-Country,
1960,Choi Won-Tae,Female,36,192,104,South Africa,Africa,2004,Summer,Basketball,Women's Tournament,
1961,Jeon In-Su,Male,28,200,51,UK,Europe,2004,Winter,Skiing,Cross-Country,
1962,Jeong Jae-Heon,Male,18,170,73,China,Asia,2004,Summer,Athletics,Marathon,
1963,Han Seung-Hun,Male,33,155,80,Australia,Oceania,2004,Winter,Skiing,Alpine Skiing,Gold
1964,Jang Yong-Ho,Male,28,182,76,Italy,Europe,2004,Summer,Swimming,100m Freestyle,Gold
1965,Kim Bo-Ram,Male,38,191,50,USA,North America,2004,Winter,Ice Hockey,Men's Ice Hockey,
1966,Gu Ja-Cheong,Male,35,178,115,UK,Europe,2004,Summer,Weightlifting,Men's 77kg,
1967,Lee Han-Seop,Female,39,171,90,China,Asia,2004,Summer,Swimming,100m Freestyle,
1968,Im Hui-Sik,Male,40,164,105,USA,North America,2004,Summer,Football,Men's Football,
1969,Oh Gyo-Mun,Female,28,178,110,Canada,North America,2004,Summer,Basketball,Men's Tournament,Gold
1970,Park Seong-Su,Female,35,172,90,South Africa,Africa,2004,Winter,Skiing,Cross-Country,Gold
1971,Faisal Al-Basam,Male,40,173,105,South Korea,Asia,2004,Summer,Basketball,Men's Tournament,Gold
1972,Adel Al-Jabrin,Male,31,171,59,Russia,Europe,2004,Summer,Athletics,Marathon,
1973,Mansour Al-Hamad,Female,19,156,120,France,Europe,2004,Summer,Gymnastics,Floor Exercise,Gold
1974,Sameer Jawdat,Male,19,182,112,Italy,Europe,2004,Summer,Gymnastics,Vault,Gold
1975,Youssef Jawdat,Female,18,198,58,China,Asia,2004,Summer,Swimming,100m Freestyle,
1976,Jeannette Goergen-Philip,Female,26,175,87,Spain,Europe,2004,Summer,Athletics,200m Sprint,Silver
1977,Ilse Martha Ries-Hotz,Female,34,187,83,France,Europe,2004,Summer,Swimming,100m Freestyle,Bronze
1978,Nelly Wies-Weyrich,Male,30,192,88,China,Asia,2004,Winter,Ice Hockey,Women's Ice Hockey,
1979,Marcel Balthasar,Female,29,193,89,France,Europe,2004,Summer,Gymnastics,Floor Exercise,Silver
1980,André Braun,Male,27,199,67,Russia,Europe,2004,Summer,Athletics,200m Sprint,Bronze
1981,Claude Rohla,Male,36,162,64,Australia,Oceania,2004,Summer,Basketball,Women's Tournament,
1982,Nadejda Palovandova,Female,32,167,62,China,Asia,2004,Summer,Basketball,Men's Tournament,Silver
1983,Natalia Valeeva,Male,26,177,61,Japan,Asia,2004,Summer,Basketball,Women's Tournament,Gold
1984,Marisol Bretón,Female,40,171,92,Canada,North America,2004,Summer,Football,Women's Football,
1985,Aurora Bretón,Male,36,179,66,Canada,North America,2004,Summer,Basketball,Women's Tournament,Bronze
1986,Francisca de Gutiérrez,Male,29,159,102,Australia,Oceania,2004,Summer,Swimming,200m Butterfly,Gold
1987,Silvia de Tapia,Female,32,152,83,China,Asia,2004,Summer,Athletics,100m Sprint,Silver
1988,José Almanzor,Male,31,188,120,UK,Europe,2004,Summer,Basketball,Men's Tournament,Gold
1989,Andrés Anchondo,Male,36,194,96,Canada,North America,2004,Winter,Skiing,Cross-Country,
1990,Rafael Aveleyra,Female,36,178,96,Australia,Oceania,2004,Summer,Swimming,100m Freestyle,Bronze
1991,Omar Bustani,Male,30,188,100,Canada,North America,2004,Winter,Ice Hockey,Men's Ice Hockey,Gold
1992,Adolfo González,Male,31,154,78,USA,North America,2004,Summer,Gymnastics,Floor Exercise,Bronze
1993,Alfonso Jones,Male,33,157,100,Italy,Europe,2004,Winter,Skiing,Alpine Skiing,
1994,Ricardo Rojas,Female,33,179,120,Spain,Europe,2004,Summer,Gymnastics,Floor Exercise,
1995,Tsedendorjiin Bazarsüren,Female,34,176,116,South Korea,Asia,2004,Winter,Ice Hockey,Men's Ice Hockey,Gold
1996,Shagdaryn Byambasüren,Female,26,176,112,Brazil,South America,2004,Winter,Ice Hockey,Men's Ice Hockey,
1997,Doljingiin Demberel,Female,23,156,75,Russia,Europe,2004,Summer,Basketball,Women's Tournament,
1998,Gombosürengiin Enkhtaivan,Female,25,150,54,UK,Europe,2004,Summer,Gymnastics,Vault,Silver
1999,Dorjsembeegiin Erdenchimeg,Male,31,172,115,Australia,Oceania,2004,Summer,Gymnastics,Floor Exercise,Bronze
2000,Natjavyn Dariimaa,Male,28,185,106,Canada,North America,2004,Summer,Weightlifting,Men's 77kg,
2001,Jargalyn Otgon,Male,40,180,103,UK,Europe,2006,Summer,Swimming,200m Butterfly,
2002,Sambuugiin Oyuuntsetseg,Male,34,166,77,Germany,Europe,2006,Winter,Skiing,Alpine Skiing,
2003,Suvdyn Tuul,Female,38,159,94,China,Asia,2006,Summer,Gymnastics,Floor Exercise,Silver
2004,Nyamtserengiin Byambasüren,Female,39,190,59,Germany,Europe,2006,Summer,Football,Men's Football,
2005,Tserendorjiin Dagvadorj,Female,25,177,83,Canada,North America,2006,Summer,Football,Men's Football,Bronze
2006,Galsangiin Byambaa,Female,30,160,69,Italy,Europe,2006,Winter,Ice Hockey,Men's Ice Hockey,Silver
2007,Joanna Agius,Female,22,191,89,USA,North America,2006,Winter,Ice Hockey,Women's Ice Hockey,
2008,Leo Portelli,Male,21,151,92,India,Asia,2006,Summer,Weightlifting,Women's 58kg,Gold
2009,Gilles Cresto,Male,25,159,87,South Africa,Africa,2006,Summer,Basketball,Men's Tournament,
2010,Loedmila Arzjannikova,Male,37,185,95,Spain,Europe,2006,Summer,Swimming,100m Freestyle,Bronze
2011,Anita Smits,Female,18,180,114,Russia,Europe,2006,Winter,Skiing,Alpine Skiing,Silver
2012,Sjan van Dijk,Male,28,150,86,India,Asia,2006,Summer,Gymnastics,Vault,Bronze
2013,Jacqueline van Rozendaal-van Gerven,Female,36,157,93,China,Asia,2006,Winter,Skiing,Alpine Skiing,Silver
2014,Carry van Gool-Floris,Female,32,197,97,UK,Europe,2006,Winter,Skiing,Alpine Skiing,
2015,Christel Verstegen,Male,33,196,72,Canada,North America,2006,Summer,Basketball,Women's Tournament,Bronze
2016,Berny Camps,Female,20,159,74,Spain,Europe,2006,Summer,Football,Men's Football,
2017,Piet de Brouwer,Male,25,198,105,Germany,Europe,2006,Summer,Weightlifting,Women's 58kg,Bronze
2018,Joep Packbiers,Male,32,193,67,China,Asia,2006,Summer,Weightlifting,Women's 58kg,
2019,Tiny Reniers,Female,20,163,81,South Korea,Asia,2006,Summer,Swimming,100m Freestyle,
2020,Janus Theeuwes,Male,18,169,69,South Africa,Africa,2006,Winter,Ice Hockey,Women's Ice Hockey,
2021,Driekske van Bussel,Female,30,190,71,USA,North America,2006,Summer,Athletics,200m Sprint,Gold
2022,"Jo van Gastel, Jr.",Female,33,195,106,Australia,Oceania,2006,Summer,Swimming,200m Butterfly,Bronze
2023,Tiest van Gestel,Female,22,179,106,Russia,Europe,2006,Summer,Gymnastics,Floor Exercise,Bronze
2024,Janus van Merrienboer,Female,35,179,54,Brazil,South America,2006,Summer,Swimming,200m Butterfly,Gold
2025,Erwin Verstegen,Female,24,165,109,India,Asia,2006,Summer,Weightlifting,Women's 58kg,
2026,Henk Vogels,Female,40,199,116,France,Europe,2006,Winter,Ice Hockey,Women's Ice Hockey,
2027,Theo Willems,Female,38,188,115,Japan,Asia,2006,Summer,Athletics,100m Sprint,Gold
2028,Wenche-Lin Hess,Female,27,159,106,France,Europe,2006,Winter,Skiing,Alpine Skiing,
2029,Brit Stav,Male,35,195,114,South Korea,Asia,2006,Summer,Football,Men's Football,Gold
2030,Johs Akkerhaugen,Male,37,197,103,Canada,North America,2006,Summer,Athletics,100m Sprint,
2031,Martinus Grov,Female,39,178,109,China,Asia,2006,Winter,Skiing,Cross-Country,
2032,Jan Erik Humlekjær,Female,36,197,65,Australia,Oceania,2006,Summer,Weightlifting,Men's 77kg,
2033,Egil Borgen Johansen,Female,26,163,105,South Africa,Africa,2006,Summer,Football,Women's Football,
2034,Jan Skyttesæter,Male,21,183,62,Australia,Oceania,2006,Summer,Gymnastics,Floor Exercise,
2035,Neroli Fairhall,Female,31,177,76,South Africa,Africa,2006,Summer,Swimming,100m Freestyle,Bronze
2036,Faye Johnstone,Male,22,189,110,Spain,Europe,2006,Summer,Gymnastics,Floor Exercise,Silver
2037,Ann Shurrock,Male,27,199,67,UK,Europe,2006,Summer,Football,Women's Football,Gold
2038,Dale Lightfoot,Male,33,157,98,USA,North America,2006,Summer,Weightlifting,Men's 77kg,Bronze
2039,Andrew Lindsay,Female,31,191,89,USA,North America,2006,Summer,Gymnastics,Floor Exercise,Bronze
2040,Robin Sampson,Male,26,191,70,Italy,Europe,2006,Winter,Skiing,Cross-Country,
2041,Basilisa Ygnalaga,Male,23,166,88,Canada,North America,2006,Winter,Ice Hockey,Women's Ice Hockey,Gold
2042,Ramón Aldea,Female,39,182,98,South Africa,Africa,2006,Summer,Weightlifting,Women's 58kg,Silver
2043,Rowel Merto,Female,27,198,68,UK,Europe,2006,Summer,Gymnastics,Floor Exercise,
2044,Francisco Naranjilla,Female,27,166,98,Brazil,South America,2006,Winter,Skiing,Cross-Country,Silver
2045,Carlos Santos,Male,40,160,58,China,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,Bronze
2046,Iwona Dzięcioł-Marcinkiewicz,Female,24,161,56,Spain,Europe,2006,Summer,Football,Women's Football,Gold
2047,Joanna Helbin,Female,34,182,82,USA,North America,2006,Summer,Basketball,Men's Tournament,
2048,Beata Iwanek,Male,34,173,86,India,Asia,2006,Winter,Skiing,Alpine Skiing,
2049,Katarzyna Klata,Female,20,178,59,India,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,Bronze
2050,Edyta Korotkin,Female,29,166,120,Japan,Asia,2006,Winter,Skiing,Cross-Country,
2051,Maria Mączyńska,Male,40,190,101,Germany,Europe,2006,Summer,Weightlifting,Women's 58kg,Bronze
2052,Joanna Nowicka-Kwaśna,Male,38,158,63,Japan,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,Gold
2053,Iwona Okrzesik,Male,29,187,52,Brazil,South America,2006,Winter,Ice Hockey,Men's Ice Hockey,Bronze
2054,Maria Szeliga,Male,35,181,116,South Africa,Africa,2006,Winter,Skiing,Cross-Country,Silver
2055,Jadwiga Szoszler-Wilejto,Female,38,178,74,UK,Europe,2006,Summer,Swimming,200m Butterfly,
2056,Irena Szydłowska,Male,23,167,102,Germany,Europe,2006,Summer,Athletics,100m Sprint,
2057,Jacek Gilewski,Male,18,197,107,Spain,Europe,2006,Summer,Gymnastics,Vault,Gold
2058,Konrad Kwiecień,Male,30,180,110,Australia,Oceania,2006,Summer,Gymnastics,Vault,Bronze
2059,Tomasz Leżański,Female,32,172,80,South Korea,Asia,2006,Summer,Weightlifting,Men's 77kg,
2060,Sławomir Napłoszek,Female,32,178,58,Spain,Europe,2006,Summer,Gymnastics,Vault,Gold
2061,Jan Popowicz,Female,35,157,65,Italy,Europe,2006,Summer,Swimming,100m Freestyle,Gold
2062,Wojciech Szymańczyk,Female,27,153,54,South Korea,Asia,2006,Winter,Ice Hockey,Men's Ice Hockey,
2063,Paweł Szymczak,Female,25,198,95,China,Asia,2006,Summer,Football,Men's Football,
2064,Krzysztof Włosik,Female,23,156,95,Italy,Europe,2006,Summer,Swimming,100m Freestyle,
2065,Ana de Sousa,Male,39,157,94,Germany,Europe,2006,Summer,Swimming,200m Butterfly,Gold
2066,Nuno Pombo,Female,24,153,79,UK,Europe,2006,Winter,Skiing,Alpine Skiing,Gold
2067,Carlos Reis,Male,32,158,73,Germany,Europe,2006,Summer,Gymnastics,Floor Exercise,
2068,Rui Santos,Male,33,195,118,Australia,Oceania,2006,Winter,Skiing,Alpine Skiing,Bronze
2069,Jang Sun-Yong,Female,20,171,117,South Africa,Africa,2006,Winter,Skiing,Alpine Skiing,
2070,Ju Chun-Sam,Female,40,157,117,South Korea,Asia,2006,Summer,Basketball,Men's Tournament,Bronze
2071,Han Sun-Hi,Male,21,190,59,Italy,Europe,2006,Summer,Gymnastics,Vault,
2072,Kim Ho-Gyu,Male,36,198,93,Brazil,South America,2006,Summer,Gymnastics,Floor Exercise,
2073,Kim Hyang-Min,Female,34,166,107,Brazil,South America,2006,Summer,Gymnastics,Floor Exercise,
2074,Kim Jong-Hwa,Male,26,163,99,Spain,Europe,2006,Summer,Swimming,200m Butterfly,Gold
2075,Li Myong-Gum,Male,32,183,102,USA,North America,2006,Summer,Gymnastics,Floor Exercise,
2076,O Gwang-Sun,Female,35,191,100,Germany,Europe,2006,Summer,Football,Men's Football,
2077,Sin Song-Hui,Male,40,189,82,Australia,Oceania,2006,Summer,Athletics,Marathon,
2078,Sok Chang-Suk,Male,30,199,61,China,Asia,2006,Summer,Basketball,Women's Tournament,Gold
2079,Kim Gye-Jong,Male,37,194,52,UK,Europe,2006,Summer,Weightlifting,Women's 58kg,
2080,María del Carmen Medina,Female,25,177,108,South Korea,Asia,2006,Summer,Basketball,Women's Tournament,Gold
2081,María Reyes,Male,38,185,50,South Korea,Asia,2006,Summer,Swimming,100m Freestyle,
2082,Gloria Rosa,Female,19,187,59,UK,Europe,2006,Winter,Ice Hockey,Women's Ice Hockey,
2083,Edgardo Berdeguer,Female,18,192,53,Brazil,South America,2006,Summer,Gymnastics,Floor Exercise,
2084,Miguel Pedraza,Male,19,160,52,France,Europe,2006,Summer,Football,Women's Football,Bronze
2085,Ismael Rivera,Female,40,160,104,Japan,Asia,2006,Summer,Athletics,100m Sprint,Bronze
2086,Ferdinand Vega,Female,32,164,69,Japan,Asia,2006,Summer,Basketball,Women's Tournament,
2087,Aurora Chin,Female,30,156,64,Russia,Europe,2006,Winter,Ice Hockey,Men's Ice Hockey,
2088,Terezia Preda,Male,21,159,119,UK,Europe,2006,Summer,Football,Men's Football,
2089,Andrei Berki,Male,29,199,113,Italy,Europe,2006,Summer,Athletics,100m Sprint,
2090,Mihai Bîrzu,Female,19,155,96,France,Europe,2006,Summer,Weightlifting,Men's 77kg,Bronze
2091,Jill Börresen,Female,26,171,70,South Korea,Asia,2006,Summer,Gymnastics,Vault,
2092,Leanda Hendricks,Female,30,185,62,India,Asia,2006,Summer,Football,Women's Football,Bronze
2093,Kirstin Lewis,Male,39,195,101,Japan,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,
2094,Rieta Schenk,Female,40,197,80,Germany,Europe,2006,Summer,Gymnastics,Floor Exercise,
2095,Malcolm Todd,Male,25,186,89,Russia,Europe,2006,Winter,Skiing,Alpine Skiing,
2096,Rita Galinovskaya,Female,37,153,73,India,Asia,2006,Summer,Athletics,200m Sprint,
2097,Makhlukhanum Murzayeva,Female,36,162,78,UK,Europe,2006,Summer,Gymnastics,Vault,Bronze
2098,Yelena Tutachikova-Dostay,Female,22,162,50,Italy,Europe,2006,Summer,Athletics,Marathon,Silver
2099,Bair Badyonov,Female,26,181,67,Australia,Oceania,2006,Summer,Weightlifting,Men's 77kg,
2100,Andrey Podlazov,Male,25,196,100,Italy,Europe,2006,Summer,Football,Men's Football,Silver
2101,Balzhinima Tsyrempilov,Female,39,191,95,Canada,North America,2006,Summer,Weightlifting,Women's 58kg,
2102,Peter Koprivnikar,Male,38,196,54,South Korea,Asia,2006,Summer,Basketball,Men's Tournament,Bronze
2103,Matevž Krumpeštar,Male,38,165,101,Italy,Europe,2006,Summer,Gymnastics,Vault,
2104,Samo Medved,Male,37,188,79,Canada,North America,2006,Summer,Swimming,200m Butterfly,
2105,Paolo Tura,Male,22,154,61,South Korea,Asia,2006,Winter,Skiing,Cross-Country,Bronze
2106,Derrick Tenai,Female,33,189,66,Russia,Europe,2006,Summer,Football,Men's Football,
2107,Vreny Burger,Male,25,188,112,Italy,Europe,2006,Summer,Weightlifting,Women's 58kg,Bronze
2108,Nadia Gautschi,Female,25,182,86,South Korea,Asia,2006,Winter,Ice Hockey,Men's Ice Hockey,Gold
2109,Ursula Hess,Female,25,190,108,South Korea,Asia,2006,Summer,Football,Men's Football,
2110,Sally Svendelin,Male,18,175,118,Brazil,South America,2006,Summer,Swimming,200m Butterfly,
2111,Lotti Tschanz,Male,35,194,88,Russia,Europe,2006,Summer,Basketball,Men's Tournament,
2112,Erika Ulrich,Male,36,190,108,Canada,North America,2006,Winter,Ice Hockey,Women's Ice Hockey,Gold
2113,Romeo Frigo,Male,24,158,103,France,Europe,2006,Summer,Gymnastics,Vault,Gold
2114,Thomas Hardmeier,Male,18,158,104,Japan,Asia,2006,Summer,Gymnastics,Vault,Bronze
2115,Jean-Pierre Héritier,Female,24,160,58,Japan,Asia,2006,Winter,Skiing,Alpine Skiing,Silver
2116,Patrick Jopp,Male,22,170,109,France,Europe,2006,Summer,Swimming,100m Freestyle,
2117,Lucien Trepper,Male,28,156,65,Germany,Europe,2006,Summer,Football,Women's Football,
2118,Jakob Wolfensberger,Male,29,186,81,Russia,Europe,2006,Summer,Swimming,100m Freestyle,
2119,Lisa Andersson,Female,31,182,62,South Africa,Africa,2006,Summer,Basketball,Men's Tournament,Silver
2120,Anna-Lisa Berglund,Female,26,174,72,Australia,Oceania,2006,Summer,Basketball,Men's Tournament,
2121,Christa Bäckman,Male,20,160,59,France,Europe,2006,Summer,Football,Men's Football,
2122,Ylva Ivarsson,Female,20,182,89,Italy,Europe,2006,Summer,Athletics,Marathon,
2123,Maj-Britt Johansson,Female,18,192,92,Germany,Europe,2006,Summer,Weightlifting,Men's 77kg,
2124,Carina Jonsson,Female,37,153,99,Australia,Oceania,2006,Winter,Ice Hockey,Men's Ice Hockey,Bronze
2125,Kristina Persson-Nordlander,Female,21,193,119,France,Europe,2006,Summer,Football,Women's Football,
2126,Lena Sjöholm,Female,36,173,73,Germany,Europe,2006,Summer,Basketball,Women's Tournament,Bronze
2127,Jenny Sjöwall,Male,18,166,93,Germany,Europe,2006,Winter,Skiing,Cross-Country,
2128,Gert Bjerendal,Male,28,168,94,Germany,Europe,2006,Summer,Weightlifting,Men's 77kg,Gold
2129,Göran Bjerendal,Male,40,153,118,South Africa,Africa,2006,Summer,Basketball,Women's Tournament,
2130,Olle Boström,Male,24,158,104,Brazil,South America,2006,Summer,Gymnastics,Floor Exercise,Bronze
2131,Gunnar Jervill,Female,38,160,92,Japan,Asia,2006,Summer,Swimming,100m Freestyle,Gold
2132,Mikael Larsson,Male,18,159,113,South Korea,Asia,2006,Winter,Skiing,Cross-Country,Silver
2133,Mats Nordlander,Male,33,180,62,Japan,Asia,2006,Summer,Football,Women's Football,Bronze
2134,Magnus Petersson,Female,39,169,112,South Korea,Asia,2006,Summer,Football,Women's Football,
2135,Tommy Quick,Male,18,178,70,Spain,Europe,2006,Winter,Ice Hockey,Women's Ice Hockey,Bronze
2136,Rolf Svensson,Female,20,194,89,South Korea,Asia,2006,Summer,Basketball,Women's Tournament,
2137,Jitka Dolejší,Female,24,183,64,India,Asia,2006,Summer,Basketball,Men's Tournament,Bronze
2138,Zdeňka Padevětová,Male,38,195,71,Russia,Europe,2006,Summer,Gymnastics,Floor Exercise,
2139,František Hadaš,Female,35,157,79,USA,North America,2006,Summer,Gymnastics,Vault,Gold
2140,Martin Hámor,Male,27,165,96,Japan,Asia,2006,Summer,Athletics,Marathon,Bronze
2141,Amornrat Kaewphaitoon,Female,18,158,101,Canada,North America,2006,Summer,Gymnastics,Vault,Gold
2142,Ampol Amaluktipituk,Male,20,153,76,Brazil,South America,2006,Summer,Weightlifting,Women's 58kg,Gold
2143,Wachera Piyapattra,Female,31,173,77,USA,North America,2006,Summer,Swimming,100m Freestyle,
2144,Vallop Potaya,Male,18,186,70,Australia,Oceania,2006,Winter,Skiing,Alpine Skiing,
2145,Wijit Suksompong,Male,33,186,119,Italy,Europe,2006,Summer,Athletics,100m Sprint,Gold
2146,Chin Chiu-Yueh,Male,28,168,102,UK,Europe,2006,Summer,Football,Women's Football,Bronze
2147,Lai Fang-Mei,Male,24,160,87,South Africa,Africa,2006,Summer,Weightlifting,Women's 58kg,
2148,Lin Ya-Hua,Female,26,199,104,Japan,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,Silver
2149,Lin Yi-Yin,Male,34,192,98,Australia,Oceania,2006,Summer,Swimming,100m Freestyle,
2150,Liu Pi-Yu,Female,29,200,109,Germany,Europe,2006,Summer,Gymnastics,Vault,
2151,Lu Jui-Chiung,Male,29,185,114,Japan,Asia,2006,Summer,Gymnastics,Vault,
2152,Shue Meei-Shya,Female,40,167,63,France,Europe,2006,Summer,Football,Women's Football,
2153,Chiu Ping-Kun,Male,27,162,109,France,Europe,2006,Summer,Weightlifting,Men's 77kg,Silver
2154,Cho Sheng-Ling,Male,26,187,79,South Korea,Asia,2006,Winter,Skiing,Cross-Country,Gold
2155,Hsieh Sheng-Feng,Female,24,178,72,Brazil,South America,2006,Summer,Weightlifting,Women's 58kg,
2156,Hu Pei-Wen,Female,38,168,52,Spain,Europe,2006,Summer,Swimming,200m Butterfly,Gold
2157,Tu Chih-Chen,Male,34,187,73,Japan,Asia,2006,Summer,Athletics,Marathon,
2158,Wu Tsung-Yi,Female,20,150,115,Spain,Europe,2006,Summer,Athletics,Marathon,
2159,Yang Chun-Chi,Female,18,175,92,Canada,North America,2006,Summer,Gymnastics,Vault,Bronze
2160,Yen Man-Sung,Female,39,190,73,China,Asia,2006,Winter,Skiing,Alpine Skiing,
2161,Elif Altınkaynak,Female,31,197,103,Australia,Oceania,2006,Winter,Skiing,Alpine Skiing,Gold
2162,Elif Ekşi,Female,33,182,82,China,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,
2163,Huriye Ekşi,Male,35,152,80,India,Asia,2006,Winter,Ice Hockey,Women's Ice Hockey,Gold
2164,Natalia Nasaridze-Çakir,Male,27,186,73,Canada,North America,2006,Summer,Swimming,200m Butterfly,
2165,Zehra Öktem,Male,39,189,59,Russia,Europe,2006,Summer,Weightlifting,Men's 77kg,
2166,Selda Ünsal,Female,40,169,97,India,Asia,2006,Winter,Ice Hockey,Men's Ice Hockey,Bronze
2167,Izzet Avcı,Male,19,184,97,Canada,North America,2006,Summer,Gymnastics,Floor Exercise,Silver
2168,Özcan Ediz,Female,36,182,110,Australia,Oceania,2006,Summer,Gymnastics,Floor Exercise,
2169,Vedat Erbay,Female,23,170,65,USA,North America,2006,Summer,Basketball,Men's Tournament,
2170,Kemal Erer,Female,25,184,87,Spain,Europe,2006,Summer,Gymnastics,Floor Exercise,
2171,Kerem Ersü,Female,21,187,90,UK,Europe,2006,Winter,Skiing,Alpine Skiing,Bronze
2172,Okyay Küçükkayalar,Female,27,151,111,Brazil,South America,2006,Summer,Gymnastics,Vault,Silver
2173,Nataliya Bilukha,Female,38,164,54,South Africa,Africa,2006,Winter,Ice Hockey,Men's Ice Hockey,Silver
2174,Lina Herasymenko,Female,23,191,60,Australia,Oceania,2006,Summer,Weightlifting,Women's 58kg,
2175,Olena Sadovnycha,Male,39,182,60,USA,North America,2006,Winter,Skiing,Alpine Skiing,
2176,Oleksandr Yatsenko,Female,33,161,69,South Korea,Asia,2006,Summer,Gymnastics,Vault,
2177,Valeriy Yevetskyi,Female,29,174,119,South Africa,Africa,2006,Summer,Football,Men's Football,Bronze
2178,Stanislav Zabrodsky,Female,24,165,57,France,Europe,2006,Winter,Skiing,Cross-Country,
2179,Nataliya Butuzova,Female,34,155,91,Canada,North America,2006,Winter,Skiing,Cross-Country,Bronze
2180,Emma Gapchenko,Male,30,172,93,South Korea,Asia,2006,Summer,Gymnastics,Floor Exercise,Gold
